年度,經濟成長率,平均每人國民所得毛額（美元）,儲蓄率,失業率（百分比）,產業結構（按各產業GDP比重）-農業,產業結構（按各產業GDP比重）-工業,產業結構（按各產業GDP比重）-服務業,產業結構（按各產業GDP比重）-服務業-金融中介業,產業結構（按各產業GDP比重）-服務業-保險業,產業結構（按各產業GDP比重）-服務業-證券期貨及其它金融業,生產者物價-指數,生產者物價-年增率,消費者物價-指數,消費者物價-年增率,基本工資（金額）-月薪,基本工資（金額）-時薪,工業及服務業平均月薪資（元）,製造業平均月薪資（元）,工業及服務業平均月工時（小時）
1995,6.50,13315,29.53,1.79,…,…,…,…,…,…,…,…,…,…,14880,62.0,35355,…,194.3
1996,6.18,13826,28.60,2.60,…,…,…,…,…,…,…,…,…,…,15360,64.0,36655,…,193.4
1997,6.05,14163,28.58,2.72,…,…,…,…,…,…,…,…,…,…,15840,66.0,38435,…,193.9
1998,4.20,12911,28.11,2.69,…,…,…,…,…,…,…,…,…,…,15840,66.0,39603,…,190.2
1999,6.73,13929,28.56,2.92,…,…,…,…,…,…,…,…,…,…,15840,66.0,40781,…,190.2
2000,6.31,15105,29.24,2.99,…,…,…,…,…,…,…,…,…,…,15840,66.0,41831,…,190.1
2001,-1.40,13647,26.69,4.57,…,…,…,…,…,…,…,…,…,…,15840,66.0,41952,…,180.4
2002,5.48,13990,27.99,5.17,1.81,30.66,67.53,…,…,…,…,…,…,…,15840,66.0,41533,…,181.4
2003,4.22,14481,29.72,4.99,1.70,31.59,66.71,…,…,…,…,…,…,…,15840,66.0,42068,…,181.3
2004,6.95,15797,30.01,4.44,1.66,32.24,66.10,…,…,…,…,…,…,…,15840,66.0,42684,…,183.5
2005,5.38,16846,29.09,4.13,1.64,31.76,66.60,…,…,…,…,…,…,…,15840,66.0,43162,…,181.9
2006,5.77,17346,30.53,3.91,1.59,31.83,66.58,4.73,1.65,0.79,…,…,…,…,15840,66.0,43492,…,180.9
2007,6.85,18189,31.07,3.91,1.47,32.52,66.01,4.46,1.71,0.98,…,…,…,…,17280,95.0,44411,…,180.4
2008,0.80,18503,29.17,4.14,1.57,30.87,67.56,4.49,1.69,0.85,…,…,…,…,17280,95.0,44419,…,179.6
2009,-1.61,17460,28.90,5.85,1.70,31.08,67.22,3.73,1.66,0.85,…,…,…,…,17280,95.0,42300,…,176.7
2010,10.25,19765,32.83,5.21,1.61,33.39,65.00,3.82,1.56,0.81,…,…,89.93,0.97,17280,95.0,44647,…,181.1
2011,3.67,21410,31.16,4.39,1.74,32.62,65.64,3.97,1.65,0.75,…,…,91.21,1.42,17880,98.0,45963,…,178.7
2012,2.22,21922,30.45,4.24,1.70,32.66,65.64,4.07,1.71,0.62,…,…,92.97,1.93,18780,103.0,46075,…,178.4
2013,2.48,22552,32.39,4.18,1.73,33.72,64.54,4.07,1.68,0.61,…,…,93.71,0.80,19047,109.0,46087,…,177.0
2014,4.72,23492,34.35,3.96,1.85,35.57,62.57,4.10,1.71,0.64,…,…,94.83,1.20,19273,115.0,47744,…,177.9
2015,1.47,23367,35.46,3.78,1.76,36.29,61.95,4.07,1.76,0.63,…,…,94.54,-0.31,27470,183.0,48956,…,175.4
2016,2.17,23684,35.21,3.92,1.87,36.87,61.27,3.89,1.92,0.60,…,…,95.86,1.40,20008,126.0,49257,…,169.6
2017,3.66,25745,35.37,3.76,1.83,37.23,60.94,3.83,1.97,0.69,…,…,96.45,0.62,21009,133.0,50634,…,169.5
2018,2.91,26531,34.47,3.71,1.70,37.12,61.18,3.88,1.98,0.74,…,…,97.76,1.36,22000,140.0,52468,…,169.4
2019,3.06,26759,34.38,3.73,1.70,36.63,61.67,3.86,2.09,0.71,…,…,98.30,0.55,23100,150.0,53551,55816,168.8
2020,3.42,29649,38.49,3.85,1.60,39.01,59.39,3.76,1.92,0.86,…,…,98.07,-0.23,23800,158.0,54278,56538,168.3
2021,6.72,33987,42.65,3.95,1.45,40.78,57.77,3.70,1.76,1.10,100.00,…,100.00,1.97,24000,160.0,56127,60545,166.6
2022,2.68,33828,41.37,3.67,1.41,39.55,59.04,3.78,1.56,0.83,110.51,10.51,102.95,2.95,25250,168.0,58042,63324,167.1
2023,1.12,33525,37.56,3.48,1.51,38.58,59.91,3.69,1.61,0.90,109.88,-0.57,105.51,2.49,26400,176.0,58420,62492,168.3
2024,p   4.59,"p   35,188",p   40.71,3.38,p   1.47,p   39.79,p   58.74,…,…,…,r  111.38,r    1.37,107.81,2.18,27470,183.0,"r   61,002","r   65,622",r   169.2
